id,created_at,source,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,user_id_str,user_screen_name,place_country_code,place_full_name,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,text
id,created_at,source,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,user_id_str,user_screen_name,place_country_code,place_full_name,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,text
1071850062031015936,2018-12-09 19:32:23,Twitter Web Client,,,,7.159861082077266e+17,MakchNaeef1395,,,False,7.0,7.0,False,False,en,Free LIVE - YouTube  River Plate vs Boca Juniors  Live Stream Full HD :  https://t.co/LPW9srzuhS  #rivًerboca… https://t.co/BneuaHAf5v
1071876611463634944,2018-12-09 21:17:53,Twitter Web Client,,,,2502405358.0,Ashjan1966,,,False,7.0,7.0,False,False,en,#VamosٍBoca  #Libertٍadores2018 River Plate vs Boca Juniors  Live Stream    Watch For FREE HD &amp; 4K 📡  • Mobile 📱➤… https://t.co/XzhKNQ09WY
1071884043350917120,2018-12-09 21:47:25,Twitter Web Client,,,,629775675.0,hjory12,,,False,7.0,0.0,False,False,en,RT @moona691: Best live broadcast of today's match  ^ ^ Match of the day {River Plate vs Boca Juniors }   💥 Live Stream 👇  Live YouTube ➤ 👉…
1071859404012773376,2018-12-09 20:09:30,Twitter Web Client,,,,1550100276.0,Ashjan52,,,False,5.0,0.0,False,False,en,RT @LmoLmoosh: River Plate vs Boca Juniors /////////// (Football live stream))  #Libertadorَes2018 #SuperَClasico  🔴 Lets go 🍻   HD live PC…
1071881257766846470,2018-12-09 21:36:21,Twitter Web Client,,,,7.447164063531909e+17,ashjan12_1,,,False,8.0,8.0,False,False,en,SUPER  LIVE🍻     Watch  LFC Free Live Stream HD Here:   https://t.co/qfnruGTYCW   River Plate vs Boca Juniors -  ⚽️… https://t.co/YRAc2i6URv
1071862123712655362,2018-12-09 20:20:19,Twitter Web Client,,,,426799556.0,d700my10,,,False,7.0,0.0,False,False,en,RT @mzon800: 📺 (((Live Stream))))  📺  Live Mobile ➤  https://t.co/Zu3b0qLEB8  River Plate vs Boca Juniors 🔥   #rivًerboca #SuperCًlasico  L…
1071870876780584960,2018-12-09 20:55:06,Twitter Web Client,,,,4268952629.0,moona1209,,,False,7.0,0.0,False,False,en,RT @ashjan1111: 👏 Live Now 📡📺  📺 (((Live Stream))))  📺  Live YouTube ➤ 👉  https://t.co/P2jnzjqGIt 🔰 🔰 Live Mobile  ➤ 👉  https://t.co/P2jnzj…
1071880105658585088,2018-12-09 21:31:46,Twitter for iPhone,,,,271548644.0,DryIce23,,,False,0.0,0.0,False,False,it,"Nel frattempo sto imparando il portoghese grazie allo streaming, uniamo l’utile al dilettevole. E non sono sicura c… https://t.co/8uP9M4xqXa"
1071853104033865729,2018-12-09 19:44:28,Twitter Web Client,,,,4268952629.0,moona1209,,,False,7.0,0.0,False,False,en,RT @noonty551: 🎰   Gream Match #Libertٍadores2018  #rivٍerboca 🙌🏻   🏴󠁧󠁢󠁥󠁮󠁧󠁿  River Plate vs Boca Juniors🏴󠁧󠁢󠁥󠁮󠁧󠁿   🔴 Lets go 🍻   Live Stream…
