id,created_at,source,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,user_id_str,user_screen_name,place_country_code,place_full_name,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,text
1071878186852601858,2018-12-09 21:24:08,Twitter for Android,,,,981992443070550021,Pino5510,,,False,759,0,False,False,es,"RT @BronCmad: Eres de #Boca? Eres de #River? No importa, si vas al #RiverBoca o si solo quieres disfrutar de #Madrid aquí esta la #PoliciaN…"
1071869460221517830,2018-12-09 20:49:28,Twitter for Android,,,,2820022258,escribanonavas,,,False,2,0,False,False,en,RT @FreddyyMartinez: For being the most prestigious tournament in South America this #CopaLibertadores final is pretty boring.
1071860948120559618,2018-12-09 20:15:38,Twitter Web Client,,,,1403416080,RenzoGaliano,,,False,12884,0,False,False,en,RT @BocaJrsOficial: ¡GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL DE #BOCA! htt…
1071997849142026240,2018-12-10 05:19:38,Twitter for Android,,,,2684976033,nico_1699,,,False,90,0,False,False,es,"RT @IdMonumental: #CopaLibertadores 🏆  @SebadriussiOk cómo está el Pity, nene? https://t.co/z0llCZJrVP"
1071892239683604481,2018-12-09 22:19:59,Twitter Web Client,,,,726464638393700352,agus_aragona,,,False,5,0,False,False,es,RT @SilvaAlan9: Benedetto cuando lo sacaron y lo dio vuelta River  #Libertadores2018 https://t.co/o5LKXUOsRe
1072083216251670530,2018-12-10 10:58:51,Twitter for Android,,,,1046530924639342592,EstefiPe_,,,False,699,0,False,False,es,RT @RiverLPM: ¡Buen día para todos los hinchas del Campeón de América! #River #RiverPlate #ElMásGrandeDeLaHistoria https://t.co/kS8x1HsiMe
1075235405149208576,2018-12-19 03:44:32,Twitter for Android,,,,925582090460127232,OscarMo74155189,,,False,634,0,False,False,es,RT @javigilnavarro: El hincha de #River les dejó bien claro a los jugadores cuál era el objetivo. https://t.co/9CHafCkAao
1071890444496318467,2018-12-09 22:12:51,Twitter for iPhone,,,,53993110,msilviaduarte,,,False,202,0,False,False,es,RT @sanchezcastejon: España acoge la Final #RiverBoca en una nueva muestra de fraternidad con Latinoamérica. Nuestro objetivo es que este e…
1074698478213844992,2018-12-17 16:10:58,Twitter Lite,,,,729521362801459201,parra_vicky,,,False,524,0,False,False,es,RT @GermanBalcarce: #River Uno de los festejos en el estadio Santiago Bernabéu ⚪️🔴⚪️ https://t.co/PnV8E15dAe
1071906066332561410,2018-12-09 23:14:55,Twitter for Android,,,,2511857561,sandra_mv12,,,False,310,0,False,False,es,"RT @mumimumi09: Amplían denuncia contra ""la hormiguita"" Graciela Ocaña por Enriquecimiento Ilícito https://t.co/mNuQIZtEjP #BatallaDeLosGal…"
